1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11|1,1;1,11
1,1;11,1|2,1;11,1|2,2;11,1|2,3;11,1|2,4;10,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1|2,4;9,1
1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11|1,1;11,11
1,11;1,1|2,11;1,1|1,11;2,1|1,11;2,1|1,11;3,1|1,11;2,1|1,11;3,1|1,11;3,2|1,11;4,2|1,11;5,2|2,11;5,1|2,11;4,1|2,11;3,1|2,11;3,1|1,11;2,1|1,11;2,1|1,11;3,1|1,11;2,1|1,11;3,1|1,11;3,2|1,11;4,2|2,11;4,2|2,10;4,2|2,11;4,2|2,10;4,2|1,10;3,2|1,10;4,2|1,10;3,2|1,11;3,3|1,11;3,2|1,11;3,2|1,11;3,2|1,11;3,2|1,11;4,2|1,11;5,2|2,11;5,1|3,11;5,1|3,11;5,1|3,11;5,1|3,11;5,1|3,11;5,1|3,11;5,1|3,10;4,1|3,9;5,1|2,9;5,1|2,10;4,1|2,9;5,1|1,9;5,1|1,9;5,1|1,9;5,1|1,9;5,1|1,8;5,1|1,9;5,1|1,9;5,1|1,9;5,1|1,9;5,1|1,8;5,1|1,8;5,1|1,8;5,1|1,9;5,1|1,8;5,1|1,8;5,1|1,8;5,2|1,7;6,2|1,7;6,2|1,7;6,2|1,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2|2,7;6,2
1,11;11,1|1,11;11,2|1,10;10,2|2,10;11,2|2,10;11,3|1,10;11,3|1,11;11,3|1,11;10,3|1,11;11,3|1,11;11,3|1,11;11,3|1,11;11,3|1,11;11,2|1,10;10,2|1,10;10,1|1,11;9,1|1,11;8,1|1,11;9,1|1,11;9,1|1,11;10,1|1,11;10,1|1,11;9,1|1,11;9,1|1,11;10,1|1,11;9,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;9,1|1,11;9,1|1,11;9,1|1,11;9,1|1,11;9,1|1,11;9,1|1,11;9,1|1,11;8,1|1,11;8,1|1,11;8,1|1,11;9,1|1,11;9,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;9,1|1,11;9,1|1,11;9,1|1,11;9,1|1,11;9,1|1,11;10,1|1,11;9,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;9,1|1,11;9,1|1,11;9,1|1,11;9,1|1,11;8,1|1,11;9,1|1,11;10,1|1,11;9,1|1,11;9,1|1,11;10,1|1,11;9,1|1,11;8,1|1,11;8,1|1,11;9,1|1,11;9,1|1,11;9,1|1,11;9,1|1,11;9,1|1,11;10,1|1,11;9,1|1,11;8,1|1,11;7,1|1,11;7,1|1,11;7,1|1,11;7,1|1,11;8,1|1,11;8,1|1,11;8,1|1,11;9,1|1,11;8,1|1,11;7,1|1,11;7,1|1,11;7,1|1,11;8,1|1,11;8,1|1,11;8,1|1,11;8,1|1,11;7,1|1,11;7,1|1,11;7,1|1,11;7,1|1,11;8,1|1,11;8,1
1,11;11,11|2,11;11,11|3,11;11,11|4,11;11,11|4,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|4,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|4,10;11,11|3,10;11,11|3,10;11,11|3,10;11,11|4,10;11,11|4,9;11,11|5,9;11,11|5,9;10,11|4,9;11,11|5,9;11,11|5,9;10,11|4,9;11,11|5,9;11,11|4,9;11,11|5,9;11,11|5,8;10,11|5,7;10,11|5,7;10,11|5,7;10,11|5,8;11,11|5,7;10,11|5,7;10,11|5,7;10,11|5,7;10,11|5,7;10,11|5,7;10,11|5,7;10,11|5,7;10,11|5,7;10,11|5,7;10,11|5,8;11,11|5,7;11,11|6,7;11,11|6,7;11,11|6,7;11,11|6,7;11,11|5,7;11,11|6,7;11,10|5,7;11,11|5,7;11,11|5,7;10,11|5,7;10,11|5,7;10,11|5,7;10,11|5,7;10,11|5,7;10,11|5,7;10,11|5,7;10,11|5,8;11,11|5,7;10,11|5,7;10,11|5,7;10,11|5,7;10,11|5,7;10,11|5,8;11,11|5,7;11,11|6,7;11,10|6,7;11,11|6,7;10,11|6,7;10,11|6,7;10,11|6,7;10,11|6,7;10,11|6,7;10,11|6,7;10,11|6,7;10,11|6,7;10,11|6,7;10,11|6,7;10,11|6,7;10,11|6,7;10,11|6,7;10,11|6,7;10,11|6,7;10,11|6,7;10,11|6,7;10,11
11,1;1,1|10,1;1,1|9,1;2,1|8,1;3,1|8,1;3,1|9,1;3,1|8,1;4,1|7,1;4,1|7,1;4,1|8,1;4,1|7,1;4,1|7,1;4,1|7,1;4,1|7,1;4,1|7,1;4,1|7,1;4,1|7,1;4,1|7,1;4,1|8,1;4,1|9,1;4,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1|9,1;5,1
11,1;1,11|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10|11,1;1,10
11,1;11,11|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10
11,11;1,1|11,11;1,1|11,11;1,1|10,11;1,1|10,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|10,11;1,1|10,11;1,1|10,11;1,1|11,11;1,1|11,11;1,1|10,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|10,11;1,1|10,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|10,11;1,1|11,11;1,1|10,11;1,1|10,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|10,11;1,1|11,11;1,1|10,11;1,1|10,11;1,1|10,11;1,1|10,11;1,1|11,11;1,1|10,11;1,1|11,11;1,1|10,11;1,1|11,11;1,1|11,11;1,1|10,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|10,11;1,1|10,11;1,1|10,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|10,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|10,11;1,1|10,11;1,1|10,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|10,11;1,1|11,11;1,1|11,11;1,1|10,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1
