1,1;1,11|1,1;2,11|1,1;2,10|1,1;2,9|1,1;2,8|1,1;2,7|1,1;2,6|1,1;2,5|1,1;2,5|1,1;2,5|1,1;2,5|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4|1,1;2,4
1,1;11,1|1,1;11,1|1,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1|2,1;11,1
1,1;11,11|1,1;10,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11|1,1;9,11
1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1|1,11;1,1
1,11;11,1|1,11;11,1|1,11;11,1|1,11;11,1|1,11;11,1|1,11;11,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1
1,11;11,11|1,10;10,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11|1,10;9,11
11,1;1,1|10,1;2,1|9,1;2,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1
11,1;1,11|10,1;2,11|9,1;2,10|9,1;2,9|9,2;2,8|8,2;2,7|7,2;2,7|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6|6,2;2,6
11,1;11,11|11,1;10,11|11,1;10,10|11,1;10,10|11,1;10,9|11,2;10,8|10,2;10,7|9,2;10,6|8,2;10,6|7,2;10,5|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4|6,2;10,4
11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1|11,11;1,1
